Specie\Loci,12-ITS,1-Satyrium parviflorum voucher BB2217 trnK gene partial sequence; and maturase K (matK) gene complete cds; chloroplast gi,2-Monadenia bracteata chloroplast tRNA-Leu gene for transfer RNA-Leu and trnL-F intergenic spacer gi,3-Tylostigma perrieri plastid partial rbcL gene for RuBisCO specimen voucher K:RII 585 gi,4-Traunsteinera globosa genomic DNA containing psbA-trnH IGS specimen voucher MIB:ZPL:04317 gi,5-Orchis quadripunctata PsaB (psaB) gene partial cds; chloroplast gi,6-Ponerorchis kiraishiensis isolate Xdh53 xanthine dehydrogenase (Xdh) gene partial cds gi,7-Dactylorhiza maculata voucher Hedren 97214 ribosomal protein L16 (rpl16) gene partial sequence gi,8-Satyrium parviflorum voucher BB2217 trnL-trnF intergenic spacer and tRNA-Phe (trnF) gene partial sequence; chloroplast gi,9-Satyrium amblyosaccos voucher HK2004 tRNA-Leu (trnL) gene partial sequence; chloroplast gi,10-Brachycorythis neglecta voucher Tang & Lin 207 trnS-trnG intergenic spacer partial sequence; chloroplast gi
243793-Ophrys omegaifera subsp. dyris,AM711751.1,-,-,-,MH681203.1,-,-,-,-,-,-
443066-Ophrys scolopax subsp. rhodia,AM711755.1,-,-,-,-,-,-,-,-,-,-
443033-Ophrys fuciflora subsp. bornmuelleri,AM711766.1,-,-,-,-,-,-,-,-,-,-
443027-Ophrys fuciflora subsp. apulica,AM711791.1,-,-,-,-,-,-,-,-,-,-
145927-Ophrys sphegodes subsp. araneola,AM711796.1,AM889735.1,AY014554.1,GQ248657.1,GQ248354.1,-,-,EU176045.1,-,-,-
291413-Ophrys atlantica,AM711798.1,-,-,-,-,-,-,-,-,-,-
145930-Ophrys sphegodes subsp. aveyronensis,AM711801.1,-,AY014557.1,-,-,-,-,-,-,-,-
145931-Ophrys insectifera subsp. aymoninii,AM711802.1,-,AY014558.1,-,-,-,-,-,-,-,-
145932-Ophrys bertolonii,AM711805.1,-,AY014559.1,-,-,-,-,-,EU045548.1,-,EU531515.1
145933-Ophrys bertoloniiformis,AM711806.1,-,AY014560.1,-,-,-,-,-,-,-,-
443031-Ophrys fuciflora subsp. biancae,AM711807.1,-,-,-,-,-,-,-,-,-,-
443032-Ophrys argolica subsp. biscutella,AM711809.1,-,-,-,-,-,-,-,-,-,-
145934-Ophrys bombyliflora,AM711810.1,-,AY014561.1,-,MH681206.1,-,-,EU176039.1,-,-,-
145951-Ophrys scolopax,AM711812.1,KU931867.1,KU931797.1,-,MH681197.1,-,-,EU176043.1,-,-,-
443037-Ophrys fuciflora subsp. candica,AM711814.1,-,-,-,-,-,-,-,-,-,-
